CONTAINER ID        IMAGE                    COMMAND                  CREATED             STATUS                           PORTS                                            NAMES                    SIZE
ed84070e66da        729a4eb6493d             "/bin/sh -c 'unzip  /"   9 minutes ago       Exited (1) 9 minutes ago                                                          cranky_bhabha            0 B (virtual 691.9 MB)
5c74cb20e19a        ubuntu                   "bash"                   3 hours ago         Exited (0) 3 hours ago                                                            nostalgic_brahmagupta    23 B (virtual 120.8 MB)
609156ec1249        ubuntu                   "bash"                   3 hours ago         Exited (130) 3 hours ago                                                          elegant_noyce            23 B (virtual 120.8 MB)
7c22730e5868        ubuntu                   "bash"                   3 hours ago         Exited (0) 3 hours ago                                                            desperate_lumiere        23 B (virtual 120.8 MB)
d84373112ef2        ubuntu                   "bash"                   3 hours ago         Exited (0) 3 hours ago                                                            sick_elion               131 B (virtual 120.8 MB)
3a76bf00770a        ubuntu                   "bash"                   3 hours ago         Exited (0) 3 hours ago                                                            mad_almeida              17 B (virtual 120.8 MB)
4c51e084bc1a        ubuntu                   "bash"                   3 hours ago         Exited (0) 3 hours ago                                                            insane_kare              17 B (virtual 120.8 MB)
11b244b42a0e        ubuntu                   "bash"                   3 hours ago         Exited (0) 3 hours ago                                                            boring_borg              21 B (virtual 120.8 MB)
2bc1c24510e5        ubuntu                   "bash"                   3 hours ago         Exited (0) 3 hours ago                                                            ecstatic_roentgen        20 B (virtual 120.8 MB)
a4d6c09e68f1        ubuntu                   "bash"                   3 hours ago         Up 3 hours                                                                        condescending_mestorf    0 B (virtual 120.8 MB)
b5f17b164e0f        ubuntu                   "bash ."                 3 hours ago         Exited (126) 3 hours ago                                                          jovial_austin            0 B (virtual 120.8 MB)
83edc7b3e833        ubuntu                   "bash"                   3 hours ago         Up 3 hours                                                                        hungry_meitner           0 B (virtual 120.8 MB)
a6b504ded6ee        ubuntu                   "bash"                   3 hours ago         Up 3 hours                                                                        tender_yalow             0 B (virtual 120.8 MB)
3cafbdc55aee        ngammoudi/jmxtrans       "/bin/sh -c /usr/bin/"   26 hours ago        Exited (137) 3 hours ago                                                          jolly_northcutt          73.78 kB (virtual 736.5 MB)
8fee5abc56fd        ngammoudi/influxdb:1.0   "/run.sh"                28 hours ago        Exited (137) 3 hours ago                                                          sharp_panini             35 kB (virtual 578.2 MB)
28f35b02daf7        dd69216e39cc             "/bin/sh -c 'curl -s "   28 hours ago        Exited (1) 28 hours ago                                                           suspicious_jang          138.3 MB (virtual 661.2 MB)
ad25e661cc63        ngammoudi/influxdb:1.0   "/run.sh"                28 hours ago        Exited (137) 28 hours ago                                                         distracted_mcnulty       12.24 kB (virtual 578.2 MB)
bab8ccf8a2f7        598ab47f68a0             "/run.sh"                46 hours ago        Exited (137) 46 hours ago                                                         stupefied_goldwasser     0 B (virtual 578.1 MB)
5c103e214a15        598ab47f68a0             "/run.sh"                46 hours ago        Created                                                                           berserk_kalam            0 B (virtual 578.1 MB)
ebdf39e9cb85        598ab47f68a0             "/run.sh"                46 hours ago        Exited (137) 46 hours ago                                                         agitated_lichterman      0 B (virtual 578.1 MB)
426c0877d360        davey/influxdb           "/run.sh"                46 hours ago        Exited (137) 46 hours ago                                                         determined_babbage       12.24 kB (virtual 279.9 MB)
e41e76fba810        598ab47f68a0             "/run.sh"                46 hours ago        Exited (137) 46 hours ago                                                         tender_curie             0 B (virtual 578.1 MB)
02537e189873        davey/influxdb           "/run.sh"                47 hours ago        Exited (137) 46 hours ago                                                         determined_goodall       13.01 kB (virtual 279.9 MB)
fa457f4b1f17        598ab47f68a0             "/run.sh"                47 hours ago        Exited (137) 47 hours ago                                                         tender_meitner           0 B (virtual 578.1 MB)
64fd3efbeeea        598ab47f68a0             "/run.sh"                47 hours ago        Created                                                                           hungry_dijkstra          0 B (virtual 578.1 MB)
ffef14a8fdab        598ab47f68a0             "/run.sh"                47 hours ago        Exited (137) 47 hours ago                                                         evil_leakey              0 B (virtual 578.1 MB)
bb2c32cb7946        dd69216e39cc             "/bin/sh -c 'curl -s "   47 hours ago        Exited (1) 47 hours ago                                                           lonely_bhabha            138.3 MB (virtual 661.2 MB)
6771bba13a1a        598ab47f68a0             "/run.sh"                5 days ago          Exited (0) 2 days ago                                                             influxnagui              0 B (virtual 578.1 MB)
5a297e2609d5        dd69216e39cc             "/bin/sh -c 'curl -s "   5 days ago          Exited (1) 5 days ago                                                             pensive_murdock          138.3 MB (virtual 661.2 MB)
306f19356ad8        grafana/grafana          "/run.sh"                6 days ago          Exited (0) 5 days ago                                                             grafana2                 0 B (virtual 262.2 MB)
b1bf09f5fc77        tutum/influxdb           "/run.sh"                6 days ago          Exited (137) 5 days ago                                                           influxsrv                8.172 kB (virtual 280.3 MB)
104638814a01        davey/influxdb:latest    "/run.sh"                6 days ago          Exited (137) 6 days ago                                                           stoic_meninsky           12.24 kB (virtual 279.9 MB)
cd531771d524        davey/influxdb:latest    "/run.sh"                6 days ago          Exited (137) 6 days ago                                                           modest_fermi             12.24 kB (virtual 279.9 MB)
25fc11e25ad1        davey/influxdb           "/run.sh"                6 days ago          Exited (0) 6 days ago                                                             adoring_lumiere          198.2 MB (virtual 478.1 MB)
4319d85272a1        davey/influxdb           "/run.sh"                6 days ago          Exited (137) 6 days ago                                                           desperate_visvesvaraya   12.24 kB (virtual 279.9 MB)
9d382dcb6df9        8fd90f75c2ac             "/run.sh"                6 days ago          Exited (137) 6 days ago                                                           sad_easley               7.488 kB (virtual 290.3 MB)
5192a9dd8932        tutum/influxdb           "/run.sh"                6 days ago          Created                                                                           determined_knuth         0 B (virtual 280.3 MB)
74c192df2c26        8fd90f75c2ac             "/run.sh"                6 days ago          Created                                                                           grave_goldstine          0 B (virtual 290.3 MB)
8a3cf7acf3e7        8fd90f75c2ac             "/run.sh"                6 days ago          Created                                                                           cocky_swirles            0 B (virtual 290.3 MB)
a816f26b5df9        8fd90f75c2ac             "/run.sh"                6 days ago          Created                                                                           high_yonath              0 B (virtual 290.3 MB)
5955520be6ee        e62a3cef7055             "/bin/sh -c 'wget -q "   6 days ago          Exited (1) 6 days ago                                                             cocky_golick             138.3 MB (virtual 668 MB)
6ad0a65fd9b9        129ee5ce7572             "/bin/sh -c 'curl -s "   6 days ago          Exited (1) 6 days ago                                                             hopeful_babbage          138.3 MB (virtual 661.2 MB)
40f1d823e3eb        129ee5ce7572             "/bin/sh -c 'curl -s "   6 days ago          Exited (1) 6 days ago                                                             high_aryabhata           138.3 MB (virtual 661.2 MB)
0caa35db6165        129ee5ce7572             "/bin/sh -c 'curl -s "   6 days ago          Exited (1) 6 days ago                                                             distracted_mestorf       996.2 kB (virtual 523.9 MB)
02c21d4649b1        742d267d493d             "/bin/sh -c 'curl -s "   6 days ago          Exited (1) 6 days ago                                                             berserk_carson           138.4 MB (virtual 810.4 MB)
f619b6cb4d66        dd69216e39cc             "/bin/sh -c 'curl -s "   6 days ago          Exited (1) 6 days ago                                                             hungry_boyd              138.3 MB (virtual 661.2 MB)
de1c0efd76d1        dd69216e39cc             "/bin/sh -c 'curl -s "   6 days ago          Exited (1) 6 days ago                                                             elated_curie             138.3 MB (virtual 661.2 MB)
